Posição_Angular(graus)	Intensidade_rel_(%)
83,244	11,966
83,244	11,976
83,244	11,950
83,244	11,930
83,244	11,909
83,244	11,869
83,244	11,897
83,244	11,879
83,244	11,845
83,244	11,875
83,244	11,856
83,244	11,847
83,244	11,844
83,244	11,825
83,244	11,751
83,244	11,733
83,244	11,775
83,244	11,746
83,244	11,751
83,244	11,740
83,244	11,729
83,244	11,756
83,244	11,769
83,244	11,756
83,244	11,754
83,244	11,689
83,244	11,730
83,244	11,684
83,244	11,688
83,244	11,687
83,244	11,686
83,244	11,691
83,244	11,624
83,244	11,591
83,244	11,573
83,244	11,545
83,244	11,547
83,244	11,572
83,244	11,606
83,244	11,582
83,244	11,550
83,244	11,589
83,244	11,552
83,244	11,536
83,244	11,516
83,244	11,532
83,244	11,506
83,244	11,544
83,244	11,485
83,244	11,438
83,244	11,445
83,244	11,517
83,244	11,546
83,244	11,511
83,244	11,493
83,244	11,458
83,244	11,456
83,244	11,456
83,244	11,424
83,244	11,454
83,244	11,506
83,244	11,468
83,244	11,437
83,244	11,485
83,244	11,451
83,244	11,430
83,244	11,454
83,244	11,426
83,244	11,436
83,244	11,413
83,244	11,465
83,244	11,409
83,244	11,357
83,244	11,355
83,244	11,369
83,244	11,388
83,244	11,372
83,244	11,335
83,244	11,300
83,244	11,314
83,244	11,328
83,244	11,330
83,244	11,344
83,244	11,342
83,244	11,341
83,244	11,319
83,244	11,277
83,244	11,302
83,244	11,277
83,244	11,264
83,244	11,233
83,244	11,203
83,244	11,249
83,244	11,203
83,244	11,130
83,244	11,081
83,244	11,072
83,244	11,055
83,244	11,033
83,244	10,985
83,244	10,951
83,244	10,971
83,244	10,889
83,244	10,901
83,244	10,937
83,244	10,882
83,244	10,895
83,244	10,921
83,244	10,864
83,244	10,858
83,243	10,819
83,243	10,813
83,243	10,778
83,243	10,755
83,243	10,761
83,243	10,757
83,243	10,789
83,243	10,752
83,243	10,728
83,243	10,667
83,243	10,683
83,243	10,631
83,243	10,638
83,243	10,616
83,243	10,619
83,243	10,630
83,243	10,601
83,243	10,571
83,243	10,572
83,243	10,577
83,243	10,554
83,243	10,551
83,243	10,553
83,243	10,564
83,243	10,552
83,243	10,558
83,243	10,532
83,243	10,526
83,243	10,510
83,243	10,479
83,243	10,489
83,243	10,451
83,243	10,393
83,243	10,431
83,243	10,373
83,243	10,406
83,243	10,340
83,243	10,402
83,243	10,341
83,243	10,347
83,243	10,309
83,243	10,333
83,243	10,288
83,243	10,291
83,243	10,275
83,243	10,205
83,243	10,266
83,243	10,247
83,243	10,292
83,243	10,242
83,243	10,216
83,243	10,193
83,243	10,169
83,243	10,158
83,243	10,090
83,243	10,122
83,243	10,105
83,243	10,042
83,243	10,074
83,243	10,088
83,243	10,095
83,243	10,086
83,243	10,120
83,243	10,080
83,243	10,117
83,243	10,087
83,243	10,066
83,243	10,063
83,243	10,004
83,243	10,029
83,243	10,040
83,243	9,971
83,243	10,001
83,243	9,995
83,243	9,970
83,243	9,947
83,243	9,968
83,243	9,994
83,243	9,960
83,243	9,936
83,243	9,979
83,243	9,923
83,243	9,939
83,243	9,939
83,243	9,899
83,243	9,895
83,243	9,915
83,243	9,897
83,243	9,878
83,243	9,824
83,243	9,856
83,243	9,865
83,243	9,838
83,243	9,792
83,243	9,819
83,243	9,823
83,243	9,791
83,243	9,785
83,243	9,759
83,243	9,725
83,243	9,722
83,243	9,698
83,243	9,658
83,243	9,694
83,243	9,635
83,243	9,654
83,243	9,631
83,243	9,584
83,243	9,584
83,243	9,554
83,243	9,576
83,243	9,553
83,243	9,566
83,243	9,531
83,243	9,563
83,243	9,510
83,243	9,493
83,243	9,505
83,243	9,512
83,243	9,548
83,243	9,541
83,243	9,489
83,243	9,505
83,243	9,442
83,243	9,421
83,243	9,424
83,243	9,343
83,243	9,319
83,243	9,324
83,243	9,347
83,243	9,314
83,243	9,303
83,243	9,338
83,243	9,341
83,243	9,338
83,243	9,285
83,243	9,249
83,243	9,262
83,243	9,241
83,243	9,212
83,243	9,268
83,243	9,522
83,243	9,407
83,243	9,459
83,243	9,399
83,243	9,363
83,243	9,404
83,243	9,319
83,243	9,311
83,243	9,350
83,243	9,311
83,243	9,317
83,243	9,318
83,243	9,293
83,243	9,302
83,243	9,265
83,243	9,250
